Sludinājumi 	datums,Sludinājumi 	datums.1,Sludinājumi 	datums.2,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena
,,"Pārdošanā plašs trīs istabu dzīvoklis Rīgas Klusajā centrā, reno",Antonijas 24,3,111,2/5,P. kara,"1,931 €","214,370 €"
,,"Attīstītājs tirgo divistabu dzīvokli, kas atrodas fasādes mājā r",Alauksta 7,2,36,3/4,Renov.,"3,056 €","110,000 €"
,,Pārdod lielisku īpāšumu labākajā Rīgas daļā. Dzīvoklis ar sev,Ausekļa 11,3,97,6/6,Renov.,"2,155 €","209,000 €"
,,Renovēts dzīvoklis kapitāli rekonstruētā projektā - gaišs un ērt,Sadovņikova 21,3,57,4/6,Renov.,"1,482 €","84,500 €"
,,Pārdodu unikālu trīsistabu dzīvokli pašā Rīgas centrā Stabu ielā,Stabu 45,3,94,1/5,P. kara,697 €,"65,500 €"
,,Ļoti tuvu centram ticis renovēts pirmskara mūra nams un pieejams,Latgales 123,3,56,1/4,Renov.,"1,357 €","76,000 €"
,,Limitēta laika akcija: jaunā cena 197 820 Eur (standarta cena 34,Katrīnas d. 27,3,150,1/11,Renov.,"1,319 €","197,820 €"
,,Limitēta laika akcija: jaunā cena 183 330 Eur (standarta cena 26,Katrīnas d. 27,3,114,1/11,Renov.,"1,608 €","183,330 €"
,,"Продается двухэтажная квартира в самом центре Риги, в престижном",Brīvības 159,4,124,1/5,Renov.,"1,008 €","125,000 €"
,,Īpašnieks pārdod dzīvokli ar pelēko apdari renovētā jūgendstila,Augšiela 8,2,30,6/6,Renov.,"1,865 €","55,950 €"
,,Īpašnieks pārdod brīnišķīgu 4 istabu dizaina dzīvokli. Dzīvoklim,Stabu 46/48,4,120,3/6,P. kara,"2,267 €","272,000 €"
,,Saulains dzīvoklis ar kvalitatīvu santehniku. +Dzīvoklim log,Birznieka-Upīša 10,3,75,2/5,Renov.,"2,400 €","180,000 €"
,,"Pārdodu plašu un gaišu, mājīgu, pilnībā mēbelētu dzīvokli Rīgas",Ģertrūdes 14,4,103,1/6,P. kara,"1,893 €","195,000 €"
,,Attīstītājs piedāvā iegādāties 3-istabu dzīvokli ekskluzīvā proj,Strēlnieku 5,3,108,4/7,Jaun.,"5,000 €","540,000 €"
,,Attīstītājs piedāvā iegādāties 4-istabu dzīvokli ekskluzīvā proj,Strēlnieku 5,4,157,4/7,Jaun.,"4,032 €","633,000 €"
,,Projekta attīstītājs pārdod dzīvokli ekskluzīvajā projektā Hoft.,Strēlnieku 5,4,123,2/7,Jaun.,"5,081 €","625,000 €"
,,"3-istabu penthouse jaunajā projektā ""Ģertrūdes kvartāls"". Grie",Ģertrūdes 65/2,3,56,7/7,Jaun.,"2,607 €","146,000 €"
,,"Pārdod 3 istabu dzīvokli jaunājā projektā ""Park Alley"". Plānojum",Pulkv. Brieža 35,3,85,4/7,Jaun.,"2,659 €","226,000 €"
,,Īpasnieks pārdod četru istabu dzīvokli Rīgas centrā kopā ar neiz,Ģertrūdes 103A,4,85,2/2,P. kara,"1,588 €","135,000 €"
,,Pārdošanā mājīgs 2 istabu dzīvoklis ar balkonu Pētersalas Apkaim,Lugažu 12,2,65,2/2,Staļina,846 €,"55,000 €"
,,"Jaunais projekts , Lilien” , kura nosaukums radies pateicoties i",Laboratorijas 5,3,62,3/5,Jaun.,"2,497 €","154,800 €"
,,"Jaunais projekts , Lilien” , kura nosaukums radies pateicoties i",Laboratorijas 5,3,62,5/5,Jaun.,"2,577 €","159,800 €"
,,"Jaunais projekts , Lilien” , kura nosaukums radies pateicoties i",Laboratorijas 5,3,68,2/5,Jaun.,"2,424 €","164,800 €"
,,Pārdošanā renovēts 1 istabu dzīvoklis Rīgas centrā adrese: Ma,Matīsa 101,1,15,4/5,Renov.,"2,200 €","33,000 €"
,,Attīstītājs/īpašnieks pārdod tikko izbūvētu plašu 2-istabu dzīvo,Tallinas 86,2,55,6/6,Renov.,"2,182 €","120,000 €"
,,"Pārdodu 3-istabu dzīvokli Rīgas vēsturiskajā centrā, vispieprasī",Dzirnavu 3,3,88,3/5,P. kara,"2,159 €","190,000 €"
,,Ekskluzīvs dzīvoklis vēsturiskā ēkā ar mūsdienu tehnoloģijām un,Baznīcas 7,5,155,3/5,P. kara,"5,484 €","850,000 €"
,,Tiek pārdots plašs četristabu dzīvokls ar kopējo platību ~ 120 m,Strēlnieku 8,4,120,6/7,Jaun.,"4,917 €","590,000 €"
,,Pārdošanā stilīgs dzīvoklis ar mūsdienīgu un kvalitatīvu remontu,Gogoļa 13,3,64,4/6,P. kara,"2,273 €","145,500 €"
,,"Unikāls 3 stāvvīgs, 5 istabu dzīvoklis centrā uz Ģertrūdes ielas",Ģertrūdes 5a,5,162,4/5,P. kara,"1,358 €","220,000 €"
